word,info1,info2,info3,info4,info5
ラウドボーン,新しいポケモン。特性：てんねん、効果：相手の「能力」の変化を受けない。,新しいポケモン。進化条件：これ以上進化しない。,新しいポケモン。入手方法：野生で出現しない。アチゲータを進化させる以外の入手手段はない。,新しいポケモン。覚える技：うたう、効果：相手を眠り状態にする。「みがわり」を使っていても攻撃が当たる。,新しいポケモン。たまご技：ゲップ、効果：きのみを食べると使えるようになる。
クワッス,新しいポケモン。特性：げきりゅう、効果：HPが3分の1以下になると、みずタイプの技の威力が1.5倍になる,新しいポケモン。進化条件：Lv.16でウェルカモへ進化できる。,新しいポケモン。入手方法：野生で出現しない。 ゲーム開始時に入手するかタマゴを孵化させるしか入手方法はない。,新しいポケモン。覚える技：ふるいたてる、効果：自分の攻撃特攻を1段階上げる。,新しいポケモン。たまご技：みきり、効果：そのターン相手の技を受けない。連続で出すと失敗しやすい。
ウェルカモ,新しいポケモン。特性：げきりゅう、効果：HPが3分の1以下になると、みずタイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：Lv.36でウェニーバルへ進化できる。,新しいポケモン。入手方法：野生で出現しない。 クワッスを進化させる以外の入手手段はない。,新しいポケモン。覚える技：アクアブレイク、効果：20%の確率で相手の防御を1段階下げる。,新しいポケモン。たまご技：はねやすめ、効果：自分の最大HPの1/2だけHPを回復するが。そのターンひこうタイプではなくなる。
ウェーニバル,新しいポケモン。特性：じしんかじょう、効果：技で相手を倒すと、「攻撃」が 1段階上がる。,新しいポケモン。進化条件：これ以上進化しない。,新しいポケモン。入手方法：野生で出現しない。ウェルカモを進化させる以外の入手手段はない。,新しいポケモン。覚える技：ウェーブタックル、効果：相手に与えた1/3の反動ダメージを自分も受ける。,新しいポケモン。たまご技：とっておき、効果：他に覚えている技を1回以上使っていないと失敗する。
グルトン,新しいポケモン。特性：アロマベール、効果：自分や味方が、技「アンコール」「いちゃもん」「かなしばり」「ちょうはつ」「メロメロ」を受けない。,新しいポケモン。進化条件：Lv.18でパヒュートン(オス)に進化できる。,新しいポケモン。入手方法：パルデア地方南エリア、東エリアの広範囲でよく見かける。,新しいポケモン。覚える技：ほしがる、効果：自分が道具を持っていないとき、相手の道具を奪える。相手が道具を持っていない場合は通常攻撃になる。,新しいポケモン。たまご技：ほおばる、効果：持っているきのみを食べて、自分の防御を2段階上げる。
タマンチュラ,新しいポケモン。特性：ふみん、効果：「眠り」状態にならない。,新しいポケモン。進化条件：Lv.15でワナイダーに進化できる。,新しいポケモン。入手方法：南1番エリアなどの広範囲に生息し、地面を這っていたり木の枝にぶら下がっている。,新しいポケモン。覚える技：ねばねばネット、効果：交代で出てきた相手の素早さを1段階下げる。飛行タイプのポケモン、特性がふゆうのポケモンは影響を受けない。,新しいポケモン。たまご技：ふいうち、効果：相手の選んだ技が攻撃技であれば先制攻撃ができ(優先度：1)、ダメージを与える。攻撃技でない場合は失敗する。
ワナイダー,新しいポケモン。特性：はりこみ、効果：交代で出てきたポケモンに対して、2倍のダメージを与える。,新しいポケモン。進化条件：これ以上進化しない。,新しいポケモン。入手方法：ボウルタウンの東側や北1番エリアに生息している。タマンチュラの進化したすがた。,新しいポケモン。覚える技：じごくづき、効果：相手の2ターンの間、相手が音を使った技を使えなくなる。,新しいポケモン。たまご技：とびかかる、効果：100％の確率で相手の攻撃を1段階下げる。
マメバッタ,新しいポケモン。特性：いろめがね、効果：「こうかはいまひとつのようだ……」の相性を1つ無くして攻撃できる。2分の1のダメージは通常に、4分の1のダメージは2分の1になる。,新しいポケモン。進化条件：Lv.24でエクスレッグに進化できる。,新しいポケモン。入手方法：西1番エリアなど砂漠地帯全域。頻繫に目にすることができる。,新しいポケモン。覚える技：こらえる、効果：「ひんし」になる攻撃を受けても、必ずHPが1残る。連続で使用すると失敗しやすい。,新しいポケモン。たまご技：はいよるいちげき、効果：100%の確率で相手の特攻を1段階下げる。
エクスレッグ,新しいポケモン。特性：むしのしらせ、効果：HPが3分の1以下になると、むしタイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：これ以上進化しない。,新しいポケモン。入手方法：ベイクタウン周辺の洞窟などに生息している。マメバッタの進化したすがた。,新しいポケモン。覚える技：おどろかす、効果：30%の確率で相手をひるませる。,新しいポケモン。たまご技：カウンター、効果：相手のぶつり技で受けたダメージ分、2倍にして相手に返す。必ず後攻になる。
パモ,新しいポケモン。特性：せいでんき、効果：直接攻撃を受けると、30%の確率で相手を「まひ」状態にする。,新しいポケモン。進化条件：Lv18でパモットに進化できる。,新しいポケモン。入手方法：コサジの小道などの南エリアに生息しているが出現頻度が低い。,新しいポケモン。覚える技：じゅうでん、効果：次のターンに自分がでんきタイプの技を出すと、威力が2倍になる。自分の特防が1段階上がる。,新しいポケモン。たまご技：マッハパンチ、効果：先制技(優先度：1)。。相手が同じ技を使った場合、素早さが高いほうが先になる。
